Metric,μ (H),N (H),NaN% (H),μ (L),N (L),NaN% (L),t-stat,p-value,Cohen's d
focus_index,21.624316870834665,7,0,17.167307194770284,19,0,0.3185034078494294,0.7528583187177538,0.14082343611302128
engagement_index,9.658076542778636,7,0,8.335203824667474,19,0,0.2071090139273921,0.8376719176169014,0.09157140009322254
FAA_index,-0.46051577385467285,7,0,-2.7072666237013587,19,0,1.4465107914670046,0.1609689216183569,0.639561822601436
TLX,2.839387490038817,7,0,2.7889882387379337,19,0,0.03620397983038271,0.9714191615549769,0.016007266217670214
